A000,COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO CHOLERAE,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A001,COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A009,COLERA NO ESPECIFICADO,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A010,FIEBRE TIFOIDEA,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A011,FIEBRE PARATIFOIDEA A,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A012,FIEBRE PARATIFOIDEA B,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A013,FIEBRE PARATIFOIDEA C,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A014,FIEBRE PARATIFOIDEA, NO ESPECIFICADA,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A020,ENTERITIS DEBIDA A SALMONELLA,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A021,SEPTICEMIA DEBIDA A SALMONELLA,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A022,INFECCIONES LOCALIZADAS DEBIDA A SALMONELLA,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A028,OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A029,INFECCIÓN DEBIDA A SALMONELLA NO ESPECIFICADA,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A030,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A031,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A032,SHIGELOSIS DEBIDA A SHIGELLA BOYDII,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A033,SHIGELOSIS DEBIDA A SHIGELLA SONNEI,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A038,OTRAS SHIGELOSIS,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A039,SHIGELOSIS DE TIPO NO ESPECIFICADO,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A040,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A041,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A042,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A043,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A044,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A045,ENTERITIS DEBIDA A CAMPYLOBACTER,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A046,ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A047,ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A048,OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A049,INFECCION INTESTINAL BACTERIANA, NO ESPECIFICADA,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A050,INTOXICACION ALIMENTARIA ESTAFILOCOCICA,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A051,BOTULISMO,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
"A052,INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII]"",""1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,"
A053,INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A054,INTOXICACION ALIMENTARIA DEBIDA A BACILLUS CEREUS,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A058,OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A059,INTOXICACION ALIMENTARIA BACTERIANA, NO ESPECIFICADA,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A060,DISENTERIA AMEBIANA AGUDA,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A061,AMEBIASIS INTESTINAL CRONICA,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A062,COLITIS AMEBIANA NO DISENTERICA,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A063,AMEBOMA INTESTINAL,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A064,ABSCESO AMEBIANO DEL HIGADO,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
"A065†,ABSCESO AMEBIANO DEL PULMON J99.8*)"",""1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,"
"A066†,ABSCESO AMEBIANO DEL CEREBRO G07*)"",""1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,"
A067,AMEBIASIS CUTANEA,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A068,INFECCION AMEBIANA DE OTRAS LOCALIZACIONES,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A069,AMEBIASIS, NO ESPECIFICADA,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A070,BALANTIDIASIS,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
"A071,GIARDIASIS [LAMBLIASIS]"",""1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,"
A072,CRIPTOSPORIDIOSIS,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A073,ISOSPORIASIS,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A078,OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A079,ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS, NO ESPECIFICADA,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A080,ENTERITIS DEBIDA A ROTAVIRUS,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
A081,GASTROENTEROPATIA AGUDA DEBIDA AL AGENTE DE NORWALK,1,2013-11-14 22:50:58.778659,2013-11-14 22:50:58.778659,
